title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
10 Days in a Madhouse,N/A,N/A,"$14,200",Cafe Pictures,"November 11, 2015",Drama,1 hrs. 51 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Items or Less,Brad Silberling,N/A,"$107,200",ThinkFilm,"December 1, 2006",Comedy,1 hrs. 22 min.,R,N/A,"$1,399,222",Morgan Freeman,Jonah Hill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Questions for the Dalai Lama,N/A,N/A,"$275,100","Monterey Media, Inc.","April 27, 2007",Documentary,1 hrs. 29 min.,Unrated,N/A,"$484,487",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Things I Hate About You,N/A,N/A,"$63,354,700",Buena Vista,"March 31, 1999",Romantic Comedy,1 hrs. 37 min.,PG-13,$30 million,"$53,478,166",Julia Stiles,Heath Ledger,Joseph Gordon-Levitt,N/A,N/A,N/A,Jeffrey Chernov,Andrew Lazar,N/A,N/A,N/A,N/A,Karen McCullah Lutz,Kirsten Smith,N/A,N/A
10 to Midnight,N/A,N/A,"$19,203,300",MGM,"March 11, 1983",Unknown,1 hrs. 43 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Years,Jamie Linden,N/A,"$218,000",Anchor Bay Films,"September 14, 2012",Comedy / Drama,1 hrs. 40 min.,PG-13,N/A,"$203,373",Channing Tatum,Chris Pratt,Jenna Dewan-Tatum,Kate Mara,Rosario Dawson,Justin Long,Marty Bowen,N/A,N/A,N/A,N/A,N/A,Jamie Linden,N/A,Chad Fischer,N/A
"10,000 B.C.",Roland Emmerich,N/A,"$111,285,600",Warner Bros.,"March 7, 2008",Period Adventure,1 hrs. 49 min.,PG-13,$105 million,"$269,784,201",N/A,N/A,N/A,N/A,N/A,N/A,Mark Gordon,Harald Kloser,Scott Mednick,Thomas Tull,N/A,N/A,Roland Emmerich,Harald Kloser,Harald Kloser,Thomas Wander
"10,000 Km",N/A,N/A,"$12,700",Broad Green Pictures,"July 10, 2015",Comedy / Drama,1 hrs. 39 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100 Bloody Acres,N/A,N/A,"$6,400",Doppelganger Releasing,"June 28, 2013",Horror Comedy,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 100-Year Old Man Who Climbed Out the Window and Disappeared,N/A,N/A,"$953,100",Music Box Films,"May 1, 2015",Foreign,1 hrs. 54 min.,R,N/A,"$51,130,193",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001 Grams,N/A,N/A,"$10,600",Kino Lorber,"May 8, 2015",Drama,1 hrs. 33 min.,Unrated,N/A,"$10,983",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians,N/A,N/A,"$474,181,600",Disney,"January 25, 1961",Animation,1 hrs. 19 min.,G,N/A,"$215,880,014",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (1996),N/A,N/A,"$256,675,500",Buena Vista,"November 27, 1996",Family Comedy,1 hrs. 43 min.,G,N/A,"$320,689,294",Glenn Close,Hugh Laurie,N/A,N/A,N/A,N/A,John Hughes,N/A,N/A,N/A,N/A,N/A,John Hughes,N/A,Michael Kamen,N/A
